names,scores,logfoldchanges,pvals,pvals_adj,group
B2M,34.13365,,2.3377132985047574e-255,5.075409342383679e-251,DCnMono
PSAP,32.803062,,5.325119092952156e-236,5.780683031354213e-232,DCnMono
DUSP1,29.417929,inf,3.239288067382536e-190,2.344272774364741e-186,DCnMono
RGS2,29.34609,inf,2.6803448980160215e-189,1.454824202020646e-185,DCnMono
HLA-C,29.006866,,5.3900585978657996e-185,2.3404712443652875e-181,DCnMono
MNDA,27.720585,611.65295,3.9439449322531944e-169,1.2232426917735586e-165,DCnMono
FCER1G,27.66608,,1.7878500628058062e-168,4.852001589197107e-165,DCnMono
FOS,27.439512,,9.268445495834663e-166,2.235858001778515e-162,DCnMono
XIST,27.269348,41.97732,9.799798310877891e-164,2.127634211274699e-160,DCnMono
CTSS,26.72533,inf,2.390350261612822e-157,4.7178995027159975e-154,DCnMono
CD68,26.391954,inf,1.6948648705986383e-153,3.0664342671305865e-150,DCnMono
SERPINA1,26.260069,inf,5.485197429288218e-152,9.160701645175116e-149,DCnMono
NPC2,26.115566,inf,2.4268264762125767e-150,3.763487830360803e-147,DCnMono
S100A9,26.058334,inf,1.0823974185719535e-149,1.5666620236410453e-146,DCnMono
SRGN,24.670605,,2.212230413381969e-134,3.0018584065584955e-131,DCnMono
TMSB4X,24.51759,,9.591563904816222e-133,1.2249555525733236e-129,DCnMono
OAZ1,24.280426,,3.156135595321317e-130,3.806825550556729e-127,DCnMono
FCN1,24.273262,inf,3.756906555753881e-130,4.292957801682763e-127,DCnMono
EVI2B,23.918634,662.47644,1.960064307732652e-126,2.0264264850087432e-123,DCnMono
ARPC1B,23.39709,,4.575065206938157e-121,4.514965486719742e-118,DCnMono
CALM2,22.98551,,6.508337492112371e-117,6.143587621358769e-114,DCnMono
SAT1,22.78886,,5.913571009847623e-115,5.349564174783406e-112,DCnMono
CFP,22.664352,inf,1.007173608341078e-113,8.746698484277258e-111,DCnMono
FTL,22.27148,,6.985472270476032e-110,5.83313801785789e-107,DCnMono
LRRC25,22.16005,465.95255,8.345918486018121e-109,6.711045787034794e-106,DCnMono
AOAH,22.126825,339.38327,1.7443461589483285e-108,1.3525535520331127e-105,DCnMono
FTH1,22.110136,,2.5250449804955244e-108,1.8903879852254597e-105,DCnMono
ARHGDIB,22.036001,,1.3013362182582883e-107,9.417770211535232e-105,DCnMono
SELPLG,22.034134,407.5358,1.356130489695883e-107,9.49772550380236e-105,DCnMono
HLA-G,21.966124,37.408768,6.073559012712181e-107,4.1207199914060675e-104,DCnMono
ARPC2,21.642212,,7.196795144181214e-104,4.734836950767223e-101,DCnMono
SH3BGRL,21.529554,528.0573,8.231991667391134e-103,5.256610914433203e-100,DCnMono
IFITM3,21.470303,inf,2.9508957477658325e-102,1.8304827879926854e-99,DCnMono
SDCBP,21.191036,717.0275,1.1552775951947198e-99,6.967286630353489e-97,DCnMono
LILRB2,21.159159,159.8732,2.272396368254011e-99,1.333405339220617e-96,DCnMono
NADK,21.15138,143.372,2.679802441354122e-99,1.5310839685326145e-96,DCnMono
CASP1,20.903502,774.7073,4.975830172946304e-97,2.770006381662493e-94,DCnMono
C10ORF54,20.793386,256.44785,4.967816224744275e-96,2.696406451385574e-93,DCnMono
PTPRC,20.752691,593.1177,1.1591895061899563e-95,6.138332528997596e-93,DCnMono
UCP2,20.727888,inf,1.9412642540133628e-95,1.0034949575924791e-92,DCnMono
FCGR3A,20.71123,inf,2.743643407717028e-95,1.385284698254521e-92,DCnMono
LGALS3,20.706146,455.07114,3.0489474180977805e-95,1.504447668052748e-92,DCnMono
HCK,20.703728,696.0095,3.2059222553657345e-95,1.546750624138788e-92,DCnMono
FPR1,20.549519,777.9507,7.773127458420329e-94,3.668747179342691e-91,DCnMono
RAP1B,20.519968,533.05383,1.4280556637351258e-93,6.537034787469235e-91,DCnMono
SLC7A7,20.519386,480.8482,1.4452474312492436e-93,6.537034787469235e-91,DCnMono
LYZ,20.420418,,1.1011761987737854e-92,4.879109479913807e-90,DCnMono
C1ORF162,20.333117,554.3939,6.550663251411301e-92,2.8444289970278153e-89,DCnMono
CECR1,20.27163,263.58926,2.2895198211431775e-91,9.746620556243044e-89,DCnMono
OAS1,20.135334,374.31726,3.6187162942066434e-90,1.5108836435292393e-87,DCnMono
TNFSF13B,20.109734,99.66896,6.06486071869049e-90,2.4844186993111177e-87,DCnMono
ASAH1,20.078468,503.03754,1.1384929014518437e-89,4.577373959892774e-87,DCnMono
NAMPT,20.071335,434.36142,1.3142801146130886e-89,5.188061012429957e-87,DCnMono
SLC11A1,20.0183,156.80528,3.815315752563221e-89,1.4791842911410729e-86,DCnMono
HLA-DRB4,19.990677,inf,6.63879833898623e-89,2.528683346275966e-86,DCnMono
CPPED1,19.975948,131.80836,8.917327394543431e-89,3.338001639016076e-86,DCnMono
NFKBIA,19.967651,inf,1.0529107764757785e-88,3.874533197977225e-86,DCnMono
PILRA,19.925026,458.26743,2.469206232592452e-88,8.934822752635787e-86,DCnMono
TSPO,19.870428,inf,7.337523981759962e-88,2.611557101114599e-85,DCnMono
PLEK,19.849329,inf,1.1168136768691583e-87,3.9108293126623056e-85,DCnMono
CD53,19.819107,inf,2.0369455227417105e-87,7.019702260991313e-85,DCnMono
CAPZA2,19.636755,311.49762,7.504157180514229e-86,2.5456680710335068e-83,DCnMono
LAPTM5,19.565254,,3.058703349264479e-85,1.02165397562894e-82,DCnMono
LIPA,19.53047,440.12122,6.048142109726572e-85,1.9895638385496003e-82,DCnMono
TNFAIP2,19.502695,94.482765,1.0414639019572087e-84,3.374809369461636e-82,DCnMono
CFD,19.488977,545.6314,1.3617608099676498e-84,4.347821903707007e-82,DCnMono
TXNIP,19.480373,inf,1.6110334538847683e-84,5.069151785114812e-82,DCnMono
S100A11,19.447762,inf,3.044389148883096e-84,9.442390401628701e-82,DCnMono
PECAM1,19.430582,106.006035,4.2550946181171675e-84,1.3011599894921383e-81,DCnMono
CYBB,19.371206,302.78476,1.3505360448681232e-83,4.0724288986294194e-81,DCnMono
ACTB,19.368605,,1.4205605916365035e-83,4.224902877400018e-81,DCnMono
TMBIM4,19.341076,184.59587,2.4236591354724787e-83,7.110819390573376e-81,DCnMono
FGR,19.270065,inf,9.581600828083889e-83,2.7736818077137243e-80,DCnMono
TBXAS1,19.126083,248.03758,1.531589385539252e-81,4.318485344083468e-79,DCnMono
H3F3B,19.078375,,3.819506607676338e-81,1.0631449738366792e-78,DCnMono
ARPC3,19.015417,,1.2712105391162091e-80,3.4935762043989893e-78,DCnMono
ARPC5,18.999739,inf,1.7139378415711175e-80,4.651413059793816e-78,DCnMono
S100A6,18.996983,inf,1.806327657341135e-80,4.841627131917701e-78,DCnMono
FKBP1A,18.915407,418.7905,8.515891476287697e-80,2.2547380468497827e-77,DCnMono
HLA-F,18.759943,307.8762,1.605708792559839e-78,4.200185975333333e-76,DCnMono
DMXL2,18.73024,72.31337,2.806453253414691e-78,7.253679355343614e-76,DCnMono
GIMAP4,18.698608,224.36961,5.081338700517975e-78,1.2978934650228913e-75,DCnMono
TYROBP,18.674908,,7.922682090544483e-78,2.0001087310210612e-75,DCnMono
KCTD12,18.543634,23.12025,9.180388118463988e-77,2.2909816832180645e-74,DCnMono
GNS,18.502447,117.227684,1.9730499396515517e-76,4.867828095428959e-74,DCnMono
KLF6,18.487045,215.90714,2.6255092583352084e-76,6.404767585136597e-74,DCnMono
LGALS2,18.476023,423.19208,3.220712890296979e-76,7.769433062359746e-74,DCnMono
FGL2,18.42908,244.43958,7.677870267041824e-76,1.8318048501950002e-73,DCnMono
SOD2,18.422894,554.9055,8.607640418857773e-76,2.0313095775415338e-73,DCnMono
CD48,18.39022,531.8097,1.5733821683282795e-75,3.673086049094116e-73,DCnMono
SLC31A2,18.36704,205.7807,2.412117946074094e-75,5.5712226305547495e-73,DCnMono
FTH1P3,18.32907,11.647087,4.851304027839168e-75,1.108701702614907e-72,DCnMono
MPEG1,18.320955,283.6808,5.631574744269312e-75,1.2736158257586566e-72,DCnMono
MARCH1,18.144024,53.65922,1.4315332708412554e-73,3.2041256539417006e-71,DCnMono
LYST,17.98467,105.96997,2.569083434178668e-72,5.6915684121890874e-70,DCnMono
IGSF6,17.93684,336.37692,6.081611044834932e-72,1.3337157312566789e-69,DCnMono
LILRA6,17.929768,240.87935,6.906849315960366e-72,1.499546054988155e-69,DCnMono
KLF10,17.919998,187.34222,8.232991102762888e-72,1.7697670280404465e-69,DCnMono
HK3,17.909098,177.34581,1.0014604095242896e-71,2.1316379363903774e-69,DCnMono
IFI30,17.76683,,1.2770501293370133e-70,2.6918480930131937e-68,DCnMono
AP1S2,17.724787,347.81073,2.6993121867423882e-70,5.635073739073461e-68,DCnMono
GLIPR1,17.569262,227.9548,4.2365120664309243e-69,8.677255988139793e-67,DCnMono
CLEC12A,17.435844,191.64725,4.4099936290666716e-68,8.865312192654306e-66,DCnMono
NFKBIZ,17.327995,108.8916,2.892341467540969e-67,5.761066568970824e-65,DCnMono
BIN2,17.310787,342.68796,3.9005073015867293e-67,7.69853763861359e-65,DCnMono
MS4A7,17.308582,337.2776,4.052753380808772e-67,7.926966545111644e-65,DCnMono
AIF1,17.240295,inf,1.3235732445125015e-66,2.5657230992509747e-64,DCnMono
LRRK2,17.118546,27.179758,1.0793884833587249e-65,2.073858704619582e-63,DCnMono
DAZAP2,17.110493,inf,1.2394807214069227e-65,2.3605584160057632e-63,DCnMono
CD36,17.080973,355.56192,2.0566052505484353e-65,3.882691877796268e-63,DCnMono
HLA-DQB,17.064682,,2.7186368401451618e-65,5.088303830723414e-63,DCnMono
IL10RA,16.999857,155.71536,8.232054051831232e-65,1.5275737223872467e-62,DCnMono
PTP4A2,16.978912,87.73335,1.1764694508891823e-64,2.1464141385088265e-62,DCnMono
RTN3,16.96642,245.06439,1.4554242168892751e-64,2.633226264406921e-62,DCnMono
SKAP2,16.961855,104.855545,1.5729689121791246e-64,2.8223742192000806e-62,DCnMono
GSTK1,16.94091,354.2493,2.246198259772556e-64,3.9973123293378665e-62,DCnMono
S100A8,16.902359,inf,4.322655838969051e-64,7.630014708931468e-62,DCnMono
IRAK3,16.894243,45.772068,4.9603234681410794e-64,8.684966356194434e-62,DCnMono
HMOX1,16.893692,256.0949,5.006890453422441e-64,8.696367890740369e-62,DCnMono
C5AR1,16.887323,39.429493,5.577660164628142e-64,9.610839669384252e-62,DCnMono
BCL2A1,16.86298,353.4131,8.423375432443168e-64,1.4399992442029419e-61,DCnMono
LRP1,16.86004,27.194868,8.852950063827554e-64,1.5016124909043751e-61,DCnMono
CLEC7A,16.75994,211.80125,4.791199076229683e-63,8.063699468528888e-61,DCnMono
OAZ2,16.752008,209.2445,5.474720846324824e-63,9.14320494573525e-61,DCnMono
ZEB2,16.74769,139.54189,5.886824052840804e-63,9.756399771849366e-61,DCnMono
PPT1,16.747047,inf,5.950790977853545e-63,9.787698706074114e-61,DCnMono
AK307192,16.745117,194.88968,6.146877281236986e-63,1.0034199447589188e-60,DCnMono
TLR2,16.588919,81.113884,8.381669665349746e-62,1.3580181351075249e-59,DCnMono
SELL,16.546906,inf,1.6854618368499666e-61,2.710597180729602e-59,DCnMono
PSMB9,16.535912,252.93318,2.0229166888487654e-61,3.229378252323202e-59,DCnMono
SCIMP,16.52054,121.08039,2.610481042330741e-61,4.1369455408790305e-59,DCnMono
CPVL,16.446344,inf,8.90846694594734e-61,1.4015342453874107e-58,DCnMono
SNX2,16.43082,239.594,1.1509230549336366e-60,1.797675571630517e-58,DCnMono
BC018860,16.413488,,1.5314819135585591e-60,2.3750002732335628e-58,DCnMono
ACTR2,16.411253,137.69753,1.588926470644266e-60,2.44660869533033e-58,DCnMono
DDX5,16.3953,,2.0662134643378608e-60,3.159123980580232e-58,DCnMono
NOTCH2NL,16.384062,81.37644,2.4857796102491487e-60,3.774039239029319e-58,DCnMono
LST1,16.382835,inf,2.536354727406538e-60,3.824083158800232e-58,DCnMono
NAAA,16.378794,279.25662,2.7106391833925045e-60,4.0586680903885975e-58,DCnMono
MX2,16.357512,99.16443,3.8451778760781265e-60,5.717990196406316e-58,DCnMono
VCAN,16.34407,271.323,4.794340458592428e-60,7.080947326292531e-58,DCnMono
AF420437,16.330107,75.71935,6.027938186082162e-60,8.842740943110123e-58,DCnMono
FCGR2A,16.306007,266.2402,8.94522826727148e-60,1.294732339404874e-57,DCnMono
ATG3,16.293177,341.27484,1.1034549094197042e-59,1.5865635455901455e-57,DCnMono
ATP6V1G1,16.28742,162.58315,1.2123700519215063e-59,1.7316951445570937e-57,DCnMono
FBXL5,16.268526,158.86597,1.650825314783647e-59,2.3425534908018146e-57,DCnMono
AGTRAP,16.251348,243.05878,2.1850678194481975e-59,3.0805199628597286e-57,DCnMono
APLP2,16.208967,245.60292,4.358258358364468e-59,6.104654659254901e-57,DCnMono
GMFG,16.207346,263.62613,4.474867108663343e-59,6.227810243345502e-57,DCnMono
SGK1,16.180735,174.02568,6.896614336551817e-59,9.537095150374299e-57,DCnMono
CLEC2B,16.1691,48.895794,8.330787214127793e-59,1.1447450709235982e-56,DCnMono
CD300LF,16.160524,178.20694,9.574288818299576e-59,1.3073420410949817e-56,DCnMono
HLA-DRB1,16.08933,,3.0309846847627606e-58,4.112856780680269e-56,DCnMono
ATP6V0E1,16.07509,359.81747,3.8143103325568176e-58,5.111882199391423e-56,DCnMono
NBPF16,16.040672,29.237402,6.643069023548511e-58,8.848323409218511e-56,DCnMono
MYD88,16.000834,302.74933,1.2607390082374263e-57,1.669018573648949e-55,DCnMono
RNF13,15.980502,161.18689,1.7473347594028653e-57,2.2991748461451883e-55,DCnMono
SORL1,15.965926,55.47173,2.2074083371512697e-57,2.887050747463326e-55,DCnMono
NCF2,15.956709,470.57028,2.558722652260152e-57,3.326492664863483e-55,DCnMono
RAB3D,15.923669,23.040134,4.341570950731619e-57,5.610705173293701e-55,DCnMono
LILRB1,15.918187,104.07306,4.739085032477465e-57,6.088181960953742e-55,DCnMono
GCA,15.91537,114.164444,4.9572935257879973e-57,6.3310470434343065e-55,DCnMono
ATP6AP2,15.862242,291.12668,1.1568890913334313e-56,1.4688432199964985e-54,DCnMono
RGS18,15.850514,84.31438,1.3943549007937414e-56,1.7600487936705185e-54,DCnMono
TNFSF10,15.792854,202.26929,3.484508183485982e-56,4.3729570619459046e-54,DCnMono
JUNB,15.772859,66.363785,4.783507594481959e-56,5.934556193359876e-54,DCnMono
DBNL,15.772123,288.243,4.8395015088998475e-56,5.96991007157526e-54,DCnMono
HLA-E,15.651138,,3.263298924832679e-55,4.002795647290525e-53,DCnMono
ARL6IP5,15.601654,277.40372,7.093215993095184e-55,8.65173103517357e-53,DCnMono
MYL12B,15.544974,inf,1.7209251888980344e-54,2.075722598675846e-52,DCnMono
RNF144B,15.540289,59.16085,1.8514689812080903e-54,2.220842157514301e-52,DCnMono
TKT,15.526356,inf,2.300877549553788e-54,2.7447446416682573e-52,DCnMono
C19ORF38,15.468788,177.58502,5.635817310588607e-54,6.686296701103238e-52,DCnMono
DUSP6,15.455712,224.74861,6.904372377735321e-54,8.146784168098454e-52,DCnMono
ITM2B,15.445363,535.66205,8.107039375041437e-54,9.514158479541872e-52,DCnMono
PLBD1,15.438534,384.30368,9.012546906999501e-54,1.0519968059025063e-51,DCnMono
SH3BGRL3,15.43584,,9.396987224660353e-54,1.0910052921636413e-51,DCnMono
PSME2,15.402983,453.31885,1.5629091597095764e-53,1.8049106790667345e-51,DCnMono
M6PR,15.339015,239.07516,4.195149724351734e-53,4.819095008751349e-51,DCnMono
LTA4H,15.246048,411.1558,1.7490372532944664e-52,1.998597252961903e-50,DCnMono
ATP5B,15.23135,inf,2.1902250252069553e-52,2.489632226296765e-50,DCnMono
SH3BP2,15.185969,16.654415,4.3804231590605815e-52,4.953300375331473e-50,DCnMono
VMP1,15.183948,280.42493,4.517533969534213e-52,5.0818746120496e-50,DCnMono
AMICA1,15.149775,438.97412,7.602707023483748e-52,8.508369700353385e-50,DCnMono
MALAT1,15.134556,,9.582579572005997e-52,1.0669096671170368e-49,DCnMono
SMAP2,15.068046,123.85063,2.6277032888685497e-51,2.9107176583992388e-49,DCnMono
RBM3,15.05246,163.37935,3.3263298164836475e-51,3.665885616531801e-49,DCnMono
ID2,15.041406,354.929,3.93114771207739e-51,4.31056302913698e-49,DCnMono
ZFP36,15.014305,78.76399,5.917847598281402e-51,6.4564014676526386e-49,DCnMono
TNFRSF1B,15.011182,136.93475,6.203226487957557e-51,6.733912514002326e-49,DCnMono
NAGK,14.997556,119.257744,7.617338832474996e-51,8.227862855316648e-49,DCnMono
EMR2,14.984174,74.17557,9.317672332087481e-51,1.0014652673363926e-48,DCnMono
TLR4,14.937569,53.638046,1.8770063992651673e-50,2.0074722135195097e-48,DCnMono
CTSC,14.868823,451.86166,5.252848310257981e-50,5.590421061961325e-48,DCnMono
ATP6V0B,14.834527,367.8103,8.761888460972092e-50,9.279480993959274e-48,DCnMono
FAM117B,14.821819,38.838505,1.0587725747756826e-49,1.1158743383958663e-47,DCnMono
COTL1,14.807611,,1.308070339404492e-49,1.3719572530826535e-47,DCnMono
