names,scores,logfoldchanges,pvals,pvals_adj
TVAS5,28.980257,,1.1669632526674989e-184,4.222656529777345e-181
RPS4Y1,24.094646,522.7381,2.8445116793060657e-128,3.0878596534706995e-125
MTRNR2L2,19.160072,,7.976159457282872e-82,2.2785578681193216e-79
EEF2,17.662718,475.9671,8.123214576043004e-70,1.6796486824806633e-67
SEPT6,17.543203,193.63805,6.704033550123032e-69,1.3602922654833753e-66
MTRNR2L8,16.980198,,1.1509703447649733e-64,2.117687894507825e-62
NPIPL3,16.320583,174.2548,7.045959921999877e-60,1.0266767507821432e-57
ITM2C,16.088533,165.56161,3.070209967276178e-58,4.140206745312615e-56
RPL37A,15.792456,,3.5065709626570745e-56,4.3753541477153874e-54
RPL41,15.552476,,1.5307123621694987e-54,1.8566087203945243e-52
DDX3Y,14.43302,54.380722,3.2072525681602953e-47,3.1507991179786504e-45
RPS28,14.170626,,1.3925516310145207e-45,1.2920379684169341e-43
RPLP2,13.794779,,2.7399351593099064e-43,2.3512542388844816e-41
SNHG5,13.715316,233.76256,8.220753629610324e-43,6.917859769475571e-41
C17ORF76-AS1,13.682337,inf,1.294644229237195e-42,1.0728252237010969e-40
RPL32,13.59476,335.7204,4.3017207009714485e-42,3.446297348294875e-40
MTRNR2L1,13.099275,143.47556,3.3241775175301396e-39,2.3818883855807545e-37
RPL38,13.082953,inf,4.1210892592645305e-39,2.943189766706981e-37
GSN,12.862694,inf,7.298757478186985e-38,5.046602662704384e-36
RPL39,12.749947,,3.119600367556323e-37,2.083989033231241e-35
RPS25,12.682916,,7.354392309770448e-37,4.853228311167969e-35
RPS15A,12.667881,,8.908852250880327e-37,5.843507287578936e-35
PDLIM1,12.610405,222.90433,1.8504042480762115e-36,1.2064302291286075e-34
RPL35,12.588112,inf,2.454735724652632e-36,1.5956517161057872e-34
RPS21,12.463575,511.63382,1.1796131186494536e-35,7.4449361683134554e-34
CIITA,12.432372,189.36206,1.743820303887672e-35,1.0973936990639202e-33
PABPC1,12.384909,inf,3.1544311179757795e-35,1.9623453868874542e-33
RPS15,12.225739,,2.2651259767002878e-34,1.3736913430206688e-32
MTND5,12.096364,inf,1.1039389467816379e-33,6.54852963758911e-32
DDAH2,12.075786,125.527306,1.4180273182684953e-33,8.365975844273723e-32
SOX4,12.014972,135.3161,2.9647020474943426e-33,1.7210333196029324e-31
UTY,11.981472,35.785606,4.443618423998079e-33,2.565835095835699e-31
LOC23117,11.975991,471.04675,4.747312007163085e-33,2.7339228378651918e-31
RPL28,11.862263,inf,1.8588192449394948e-32,1.0509589746583692e-30
EIF5AL1,11.805461,9.113591,3.6578300301516423e-32,2.036285840631341e-30
RPLP0,11.79018,,4.386004924353744e-32,2.426543123836724e-30
HNRNPH1,11.753343,364.37418,6.787936362689363e-32,3.702836340963537e-30
RPS17L,11.6638975,,1.9491077522491548e-31,1.0448661335575654e-29
RPS24,11.572095,,5.707187089473544e-31,2.9785754543163495e-29
PRDX2,11.561714,185.77882,6.440993118048065e-31,3.3534868485837297e-29
RPS23,11.428573,218.40514,3.01016467914966e-30,1.537733772918077e-28
RPS18,11.333953,,8.909165730230139e-30,4.416139204772296e-28
RPL26,10.964292,,5.674343566184973e-28,2.610077821301736e-26
STRF6,10.740571,,6.563689369518089e-27,2.9321864177285436e-25
KDM5D,10.737571,52.294872,6.78052453478119e-27,3.0166386921031644e-25
MIF,10.69519,538.9284,1.0719914712694477e-26,4.749797312802241e-25
CST7,10.693415,208.32726,1.0927253585021824e-26,4.8318045332873495e-25
RPL17-C18ORF32,10.679267,,1.2727208526060566e-26,5.616268786774409e-25
HLA-DPB1,10.656178,inf,1.6316419219704706e-26,7.127681643440823e-25
RPS12,10.638663,,1.969339473204427e-26,8.551265860548263e-25
ABPARTS,10.5878935,711.0302,3.3913878279365906e-26,1.4522765509335566e-24
RPS3A,10.560977,,4.519333586191818e-26,1.912655974460245e-24
RPL37,10.551515,169.78156,4.998454399515509e-26,2.1113121297253156e-24
USP9Y,10.507022,21.119202,8.018558783280654e-26,3.316017709405834e-24
RPS29,10.413657,inf,2.1480670443962497e-25,8.733461348480707e-24
RPS27A,10.409585,,2.241971176105656e-25,9.081238097841398e-24
RPL10,10.35563,,3.9458017172236432e-25,1.580577510749862e-23
ADAM19,10.347821,94.78973,4.281159824290235e-25,1.7086077379625976e-23
LOC100132247,10.218508,64.38396,1.6384407630964359e-24,6.333570311580385e-23
RPL36A,10.190029,244.18907,2.1969731826126435e-24,8.427294128569454e-23
CCR7,10.184579,139.74895,2.3236349698829723e-24,8.86615796680654e-23
RPS20,10.040015,inf,1.016582259560453e-23,3.766385228211091e-22
YWHAE,9.888807,146.7722,4.65542154576156e-23,1.6789677272430104e-21
RPS8,9.816877,,9.524818822155542e-23,3.4068095790414985e-21
RPS6,9.672008,,3.9652149740111076e-22,1.3774205168120826e-20
RPS5,9.625433,,6.244361575766979e-22,2.145116047017039e-20
CALR,9.621451,349.46237,6.490846003911801e-22,2.2262678924317397e-20
RPL35A,9.615971,,6.84606041984925e-22,2.3443977567089446e-20
RPSA,9.614256,,6.961089605891206e-22,2.376292711218616e-20
RPL13,9.597108,237.95871,8.221909018269579e-22,2.7935190406205137e-20
STMN1,9.556504,363.42117,1.2180186873213136e-21,4.09990755355551e-20
CCNI,9.46467,134.65347,2.944884485095797e-21,9.776205971852423e-20
POLR2A,9.433191,37.08876,3.9779678560916255e-21,1.3065909247141495e-19
SIGLEC6,9.385391,103.97229,6.268307066949593e-21,2.0464844320382348e-19
BCL11A,9.362793,111.714554,7.765619511028992e-21,2.52394259287351e-19
CD1A,9.27788,390.18967,1.7288416816050826e-20,5.568973553312752e-19
RPS16,9.2432165,,2.3919627617000706e-20,7.592383555448864e-19
NREP,9.147004,99.51932,5.853426152960114e-20,1.8206838854859173e-18
DEF6,9.113443,90.22655,7.980805794586354e-20,2.4542673456977952e-18
ORC6,9.089711,55.833786,9.930214239671964e-20,3.040830484591227e-18
EIF1AY,9.023263,53.800293,1.825683147070658e-19,5.520530195828838e-18
TTTY15,9.012393,24.486916,2.0160916980546913e-19,6.0793565078424174e-18
LOC100190986,8.97041,111.66412,2.954109453210455e-19,8.79789716579591e-18
RPS26,8.926347,303.7217,4.403098028551245e-19,1.3023932056931345e-17
LBH,8.866604,80.05211,7.541037908082143e-19,2.2094935765502214e-17
ACAP1,8.841893,79.661995,9.411054879252547e-19,2.7462824258528502e-17
TTN,8.817089,43.156902,1.174734232207923e-18,3.4006206553954956e-17
SEL1L3,8.796818,45.878464,1.4075022794888055e-18,4.0528225450903786e-17
RPL19,8.698217,,3.3713870695496908e-18,9.580652443323736e-17
GAS5,8.682294,489.79208,3.878649081896187e-18,1.0964759142844806e-16
RPL18A,8.617499,,6.843220171700466e-18,1.912138393150435e-16
EIF4G2,8.604301,239.17937,7.678293785022503e-18,2.1344870213396103e-16
RPL3,8.569454,,1.0397655222604536e-17,2.875713280738434e-16
B3GNT7,8.541895,41.16107,1.3203828924023113e-17,3.628713035056529e-16
S100B,8.540946,690.155,1.3312762874284193e-17,3.654025218250115e-16
TRABD,8.492595,82.01605,2.0207409817420597e-17,5.470362525511453e-16
NYNRIN,8.484786,40.120056,2.1611570323742478e-17,5.828680786320161e-16
BLNK,8.484143,81.68441,2.1731407823647926e-17,5.853729469717372e-16
AK128525,8.467853,inf,2.499583708726887e-17,6.691548939601658e-16
CTSW,8.439987,186.51108,3.1737260591887125e-17,8.454572573134495e-16
C1ORF56,8.429331,69.44854,3.476472740565721e-17,9.204597520783217e-16
SLC38A1,8.4225025,79.199936,3.685271481405885e-17,9.745545570377973e-16
RPL13A,8.389155,,4.896461099674382e-17,1.283901774577663e-15
SLC7A5,8.28786,31.138428,1.153040699193892e-16,2.966074244099359e-15
HNRNPA0,8.236263,18.83084,1.7767299299102185e-16,4.495872203762326e-15
RPL34,8.230475,inf,1.864715068372442e-16,4.707538238306289e-15
MCM7,8.223035,128.04384,1.984174686509462e-16,4.991705286072646e-15
PEBP1,8.21489,150.6481,2.1235994736020068e-16,5.3301119273263774e-15
C20ORF112,8.186013,89.82224,2.700216632600534e-16,6.699931806901736e-15
PRRC2A,8.179246,28.420929,2.856252683734628e-16,7.070935235639966e-15
ILF3,8.165589,71.54876,3.198707405536456e-16,7.88276237021589e-15
CD5,8.163016,58.028366,3.267591664259099e-16,8.04338805246364e-15
SPOCK2,8.096967,18.033419,5.634661017548767e-16,1.3622953825389896e-14
FPGS,8.0719795,59.2094,6.916755291013388e-16,1.6648522630065592e-14
RPS7,8.048707,,8.367319772375926e-16,2.0095451280758158e-14
USP22,8.046992,30.596575,8.485348737183999e-16,2.0356398500884177e-14
CCND2,7.9926085,30.887516,1.3211285778526324e-15,3.1109568930323755e-14
TCF4,7.9715104,12.50064,1.567463906519957e-15,3.675076552316932e-14
TUBB,7.9449005,inf,1.943464616741481e-15,4.5176188751685533e-14
IRF2BP2,7.9191785,40.610786,2.3908451666335703e-15,5.522089299232068e-14
BAIAP2,7.9114623,59.8099,2.5438334957510846e-15,5.86919968398e-14
BC014119,7.760774,168.00476,8.4412416084634e-15,1.8932623611709595e-13
OPHN1,7.743412,33.218517,9.678379150800223e-15,2.162324332888884e-13
LOC641298,7.72804,50.275883,1.0921498434104742e-14,2.4269872313495196e-13
RUNX2,7.688355,71.34816,1.4903909242142604e-14,3.288402170286159e-13
C12ORF75,7.682445,51.940086,1.5608077957505664e-14,3.44027391406503e-13
SPDYE7P,7.634798,25.867117,2.261748415219294e-14,4.925257757555275e-13
MAT2A,7.540515,197.15245,4.6812003421507835e-14,1.005277355375229e-12
EEF1G,7.4933887,,6.711789283006216e-14,1.4286240894445879e-12
RPL36,7.4688606,inf,8.089211624129384e-14,1.7034420327009996e-12
FILIP1L,7.460746,54.031532,8.603394215280498e-14,1.8064631702896991e-12
TMSB10,7.4605927,,8.613398230600152e-14,1.8068163186913999e-12
RPL24,7.4403214,inf,1.0044049678489024e-13,2.0907609067082954e-12
GNAS,7.407434,162.94653,1.287663264699503e-13,2.652415288414697e-12
PTPRS,7.3875,33.516975,1.496154783175183e-13,3.0644355186336222e-12
SNHG1,7.3864584,119.89871,1.5079110993249905e-13,3.0848280188218833e-12
RPS27,7.3839784,,1.5362857310473116e-13,3.137751599884119e-12
TSEN54,7.3449664,60.23351,2.05810492655955e-13,4.160476355729459e-12
CREM,7.34463,145.71045,2.0632943541689973e-13,4.167086857987265e-12
ITGB7,7.339914,97.49763,2.1373103488047797e-13,4.304558903794116e-12
IL7R,7.334586,68.518074,2.224080004751584e-13,4.471018609552004e-12
KCNK17,7.318479,65.104294,2.5079706657982394e-13,5.013862902867917e-12
TRIB2,7.315754,60.791443,2.5594054186890534e-13,5.107284103415261e-12
AQP3,7.287919,76.34272,3.147791958182731e-13,6.224199563215417e-12
LOC100505678,7.2870617,18.213776,3.167881651951608e-13,6.258223707508768e-12
CD1E,7.261278,228.86069,3.8344889889876574e-13,7.513591194937818e-12
IGLL1,7.2279315,494.0271,4.904052955215607e-13,9.557620620348835e-12
PKIB,7.222726,74.73141,5.095560204684249e-13,9.913056236908579e-12
CBX5,7.2066193,34.301983,5.735811317972686e-13,1.11088491993314e-11
TXLNG2P,7.1917987,35.95034,6.394337443466228e-13,1.2373213924696547e-11
LOC440354,7.160105,87.96316,8.061509773609166e-13,1.554382226419437e-11
NUMA1,7.1106825,48.179058,1.1547056729065171e-12,2.1971792168688338e-11
EZR,7.099414,315.1833,1.2528720238883404e-12,2.377718925755224e-11
HMGA1,7.0821433,65.66169,1.4194176816235087e-12,2.6797371552806954e-11
MRC1,7.0773053,68.630424,1.4698467849793426e-12,2.7653243976331462e-11
ACTN4,7.0151744,48.120327,2.2966240473953442e-12,4.232767800764034e-11
UBA52,7.009693,60.244034,2.388414259589475e-12,4.390758847582311e-11
RPS11,7.0038443,,2.4903263531307416e-12,4.5626561563562475e-11
ACY3,6.9870334,616.492,2.807596421971271e-12,5.1180290442836496e-11
FMNL3,6.984063,18.71207,2.8676333583515223e-12,5.218708117616924e-11
PTPN7,6.9797454,70.86921,2.9571546699553846e-12,5.368125839414829e-11
LDHB,6.9364467,259.83566,4.020846469971879e-12,7.220562258855207e-11
RUNDC2C,6.9268622,56.652172,4.302770874584492e-12,7.707711093902963e-11
MOB3B,6.922973,29.829487,4.422609516487782e-12,7.90933074237778e-11
MCM2,6.9114904,45.779095,4.795881772340092e-12,8.555742741107292e-11
ATP2B4,6.8894734,32.76832,5.599922544334164e-12,9.965567078691725e-11
ZNF460,6.8664465,49.552998,6.582093780691901e-12,1.1637120364218393e-10
RPLP1,6.861241,,6.826504423675094e-12,1.205941721256387e-10
SATB1,6.8590665,87.5422,6.931194899316784e-12,1.221454321908009e-10
SLC35E2,6.8334975,68.95683,8.286883003498956e-12,1.4509396523303696e-10
APEX1,6.797364,164.96584,1.065503071635272e-11,1.847694663600111e-10
RPL10A,6.797211,,1.066635613244163e-11,1.8481824261088606e-10
PDXDC2P,6.791761,51.349655,1.10773145401559e-11,1.916331282719719e-10
SLC17A9,6.7646303,35.429764,1.3365011425774482e-11,2.2920044475907565e-10
PCDHGC5,6.757312,41.08763,1.4057555673583395e-11,2.401287106445075e-10
AFF3,6.7513404,52.918537,1.464853328721251e-11,2.500269702819739e-10
ESYT1,6.727364,93.784386,1.7276418994634307e-11,2.9189753524708596e-10
IL2RG,6.7163095,184.41515,1.8638447805994014e-11,3.139327698339302e-10
MEF2D,6.704643,12.266959,2.018994537392073e-11,3.384895011684888e-10
FCGBP,6.6972632,59.940136,2.1235898246057704e-11,3.5492885821413306e-10
EDEM1,6.6666417,33.76284,2.6172282285915432e-11,4.3475625149924253e-10
RPS3,6.6500144,,2.930643733278068e-11,4.849634610762206e-10
RPL11,6.6469216,,2.99286284126368e-11,4.941296208872681e-10
GNA15,6.637031,88.83011,3.200645263327578e-11,5.280335054111325e-10
PARM1,6.59854,43.106476,4.15226885976394e-11,6.803766733157351e-10
SNRPA,6.5944977,39.58892,4.2669766939729146e-11,6.975928539370929e-10
KDM5B,6.585832,23.299316,4.5234515912492354e-11,7.36749118511719e-10
INF2,6.581729,24.926899,4.650095027243316e-11,7.562412969024692e-10
RPS14,6.5347557,,6.371353416147348e-11,1.0193695948266402e-09
CD1C,6.5329795,175.00406,6.447398328398167e-11,1.03001813913063e-09
HMHA1,6.5226293,128.93034,6.908539360915069e-11,1.1020668483822708e-09
AKNA,6.522415,49.826664,6.918422692595756e-11,1.102833150359372e-09
RPS2,6.514668,inf,7.285066009755439e-11,1.1595752796026418e-09
RPL27A,6.504226,49.468227,7.809441762206477e-11,1.2412210109755846e-09
UHRF1,6.4864964,63.26123,8.785548334655689e-11,1.3912694375908802e-09
TCRBV3S1,6.4695625,140.68332,9.828700900921264e-11,1.5508061428771915e-09
IGJ,6.452935,,1.0970428559752965e-10,1.7197037867205534e-09
LMNA,6.412423,304.2036,1.4322467520748772e-10,2.214779859992711e-09
CREBZF,6.405901,16.372055,1.4948418931932492e-10,2.3082867953853934e-09
LTB,6.405503,237.91405,1.498747625018169e-10,2.312673040992855e-09
